,Alpha,Avg_MSE,Avg_R2
0,0.004,12.424407933750784,-13.269869776033715
1,0.044,1.1587326325624836,-0.2085791863212277
2,0.084,0.9312548772085758,0.08008143150904165
3,0.124,0.9545486406085777,0.07147794105548302
4,0.164,0.980083810605802,0.0599607555716547
5,0.204,0.9996365097922922,0.050373310480301206
6,0.244,1.0185927013436262,0.04029844918862766
7,0.284,1.035605442528274,0.03068309402595266
8,0.324,1.054737880868362,0.01835417418409848
9,0.364,1.0705420508598273,0.00766232481751492
10,0.404,1.0863363066697562,-0.0038025114902344058
11,0.444,1.098977169333679,-0.013156581184741566
12,0.484,1.111543645242635,-0.022554718798189398
13,0.524,1.1239630080478038,-0.030759699956040866
14,0.564,1.136165650287929,-0.038463083425835244
15,0.604,1.146938174399369,-0.045276987614538224
16,0.644,1.150424863705699,-0.04755320597338288
17,0.684,1.1505048092881038,-0.04770844525058027
18,0.724,1.1505858563671112,-0.04786582342690493
19,0.764,1.150667991490376,-0.04802531438043327
20,0.804,1.1507512040884704,-0.04818689758732666
21,0.844,1.1508354803636769,-0.048350546255013074
22,0.884,1.1509208090246188,-0.04851623845776389
23,0.924,1.150972815117146,-0.048617224503158016
24,0.964,1.150972815117146,-0.048617224503158016
25,1.004,1.150972815117146,-0.048617224503158016
26,1.044,1.150972815117146,-0.048617224503158016
27,1.084,1.150972815117146,-0.048617224503158016
28,1.124,1.150972815117146,-0.048617224503158016
29,1.164,1.150972815117146,-0.048617224503158016
30,1.204,1.150972815117146,-0.048617224503158016
31,1.244,1.150972815117146,-0.048617224503158016
32,1.284,1.150972815117146,-0.048617224503158016
33,1.324,1.150972815117146,-0.048617224503158016
34,1.364,1.150972815117146,-0.048617224503158016
35,1.404,1.150972815117146,-0.048617224503158016
36,1.444,1.150972815117146,-0.048617224503158016
37,1.484,1.150972815117146,-0.048617224503158016
38,1.524,1.150972815117146,-0.048617224503158016
39,1.564,1.150972815117146,-0.048617224503158016
